payment_id,order_id,Payment_date,Payment_method
10923w,29676o,7/30/2023,venmo
38738x,77542h,5/27/2023,venmo
61980o,17918e,7/28/2023,paypal
95094a,90864r,06-11-2023,venmo
12916o,21933j,12/24/2023,debit_card
94413u,39914q,1/22/2024,paypal
85454l,58474o,3/21/2023,debit_card
09787g,81068y,01-05-2024,paypal
88499z,11475i,04-10-2023,venmo
56555o,39994x,01-08-2024,paypal
76175e,15840q,09-02-2023,debit_card
60214e,25301y,11/13/2023,debit_card
65647n,90329c,9/21/2023,venmo
03828i,10908t,7/28/2023,apple_pay
57479f,78441s,12/30/2023,debit_card
12340f,24217c,05-03-2023,debit_card
24995t,23953r,6/19/2023,debit_card
96470p,05908y,12/14/2023,paypal
56790w,86571r,09-12-2023,debit_card
44875x,76678y,11-04-2023,apple_pay
67071w,07347y,10/28/2023,credit_card
41177m,81945v,7/20/2023,debit_card
51494o,05649r,06-03-2023,apple_pay
13174z,19958h,5/17/2023,debit_card
18780g,83240f,04-10-2023,venmo
12543r,98912r,9/30/2023,paypal
60416d,69324i,10/16/2023,venmo
06184s,07379y,10-08-2023,venmo
92467x,07375h,06-02-2023,debit_card
40100u,09650n,1/14/2024,apple_pay
51907b,99373d,2/24/2024,paypal
02077b,79240c,7/19/2023,venmo
74065h,01915z,7/18/2023,debit_card
33467v,87325c,1/20/2024,paypal
07538x,05724g,05-10-2023,apple_pay
36484l,94496r,8/27/2023,credit_card
00445r,80057j,4/19/2023,venmo
98048k,98744f,08-03-2023,apple_pay
20607a,16659f,04-01-2023,debit_card
60997x,98155x,9/20/2023,credit_card
02734b,83427t,02-04-2024,debit_card
83063o,56092s,7/19/2023,credit_card
69338l,54234b,11/16/2023,apple_pay
91996j,58220d,5/26/2023,credit_card
40711v,14422z,04-11-2023,credit_card
43087j,51901v,10-04-2023,paypal
67634l,85731s,12/19/2023,venmo
19012k,43812n,10-05-2023,apple_pay
83212o,25160f,06-11-2023,venmo
09137h,53681x,11/18/2023,credit_card
90746w,36266u,08-07-2023,venmo
45707u,58917l,9/26/2023,venmo
14392z,32841u,2/22/2024,credit_card
79511j,68535t,10-08-2023,credit_card
26422e,13407t,6/16/2023,debit_card
53162r,17051q,12/22/2023,debit_card
88202i,74447s,05-01-2023,venmo
58646e,54023d,5/24/2023,venmo
61461j,82905y,12/20/2023,debit_card
52212j,01182z,10/19/2023,debit_card
87035p,59689f,11/24/2023,paypal
27105f,48337b,04-09-2023,paypal
36909h,95688u,7/24/2023,apple_pay
22458c,75385f,11/15/2023,debit_card
49636w,36997m,5/14/2023,venmo
26728r,56247t,3/26/2023,venmo
39901b,02507u,06-06-2023,apple_pay
01763q,77260h,12/26/2023,credit_card
22824j,90191h,10/23/2023,debit_card
02710t,64457p,12-01-2023,debit_card
01175r,99440w,3/15/2023,paypal
88243y,36039d,10-03-2023,venmo
65861a,90896a,11-10-2023,apple_pay
75277v,03102n,5/21/2023,venmo
66126v,21692j,12-12-2023,debit_card
63603t,61189a,6/25/2023,paypal
87130u,90348g,11-11-2023,apple_pay
09009t,23291h,07-04-2023,venmo
65209h,42752h,9/20/2023,debit_card
28762a,34848l,1/24/2024,debit_card
16465k,87324s,8/29/2023,paypal
47556j,15980e,8/16/2023,debit_card
14280i,15877s,3/27/2023,debit_card
80158y,93045v,12/23/2023,credit_card
06495c,03899m,04-03-2023,debit_card
58859e,90856n,2/26/2024,apple_pay
01299e,68336i,02-01-2024,debit_card
75480v,97453a,1/23/2024,debit_card
83576w,28779t,8/26/2023,venmo
85230i,20226s,10-02-2023,credit_card
18922s,15877e,7/24/2023,venmo
45680g,79173j,12-09-2023,apple_pay
13148l,84809x,10-11-2023,venmo
25354n,48938g,06-09-2023,apple_pay
56786q,28876i,05-12-2023,credit_card
53590a,95494d,4/16/2023,paypal
84894b,15568f,07-12-2023,credit_card
33516a,88081t,9/21/2023,credit_card
23308g,62194q,08-06-2023,venmo
17975t,36439q,12-02-2023,debit_card
38824x,21716b,02-01-2024,venmo
06275o,87345s,10/28/2023,paypal
66414b,93614n,05-02-2023,venmo
34621r,60456e,10-06-2023,credit_card
53310a,64023n,4/24/2023,debit_card
52363f,66459d,2/28/2024,debit_card
26951m,27605h,3/28/2023,apple_pay
50533m,98313g,04-02-2023,debit_card
72477a,13654h,4/27/2023,credit_card
61746s,95503y,5/13/2023,debit_card
02586p,31055i,10-06-2023,venmo
25295x,86639l,4/13/2023,debit_card
47195a,33524b,01-04-2024,debit_card
49692e,81499u,03-08-2023,paypal
78751k,30474r,10-10-2023,credit_card
02858m,70431r,11-11-2023,apple_pay
27255o,02099g,12/18/2023,paypal
42312e,30115s,9/29/2023,paypal
47233i,73575e,7/28/2023,apple_pay
33370d,05340v,03-07-2023,debit_card
78055v,28977h,4/22/2023,credit_card
06673v,25807s,4/18/2023,credit_card
99422t,71732e,12-07-2023,debit_card
53416c,95198u,10/28/2023,credit_card
78203c,51727u,08-11-2023,debit_card
27209v,97997s,1/30/2024,credit_card
14910w,49363t,1/29/2024,apple_pay
07649l,90937w,09-01-2023,paypal
68667r,92630q,04-02-2023,apple_pay
34999d,25896q,10/13/2023,venmo
91852p,75930z,9/23/2023,debit_card
91010i,48868x,07-01-2023,paypal
57046j,54207d,8/22/2023,paypal
02121f,33817j,08-12-2023,credit_card
12462p,37054d,4/17/2023,paypal
56443r,96237e,4/23/2023,credit_card
65206u,24846t,11/15/2023,apple_pay
68864k,68648r,10-09-2023,paypal
50641r,06394v,10-09-2023,venmo
68418g,73452w,10/13/2023,debit_card
48481a,51681k,9/29/2023,debit_card
87539o,52170h,8/19/2023,venmo
10439i,90290z,6/20/2023,apple_pay
41538x,45348a,5/19/2023,venmo
35106n,43556r,12/21/2023,debit_card
61564w,58302w,11/26/2023,credit_card
39270h,24526z,12-04-2023,paypal
64179v,72766y,7/13/2023,venmo
53176q,07929f,2/19/2024,venmo
00079e,88365f,5/19/2023,paypal
99770z,18569x,5/19/2023,paypal
17791u,81138o,6/18/2023,paypal
48441k,54672g,11/14/2023,apple_pay
81976g,84631c,02-01-2024,debit_card
07234b,98814n,9/14/2023,venmo
75260q,63775x,6/29/2023,paypal
68294s,38589b,4/17/2023,debit_card
11160a,72204l,3/16/2023,venmo
43821s,55412x,06-04-2023,credit_card
89815i,24051r,6/18/2023,credit_card
05199v,11315h,01-07-2024,apple_pay
64223m,07199j,10-08-2023,credit_card
80994q,41508y,11/28/2023,venmo
45339u,37978i,4/28/2023,paypal
03232u,87669t,1/14/2024,debit_card
81336f,69935k,1/31/2024,venmo
26054f,11375x,10-05-2023,venmo
31364n,27547n,09-04-2023,apple_pay
81640r,38196n,4/23/2023,apple_pay
93365n,82749p,6/20/2023,paypal
53190h,32428x,11-07-2023,venmo
65835z,84416q,08-10-2023,apple_pay
14416e,77048j,5/29/2023,paypal
99725a,87335l,8/29/2023,venmo
70454y,91688c,12/16/2023,apple_pay
61366h,38241o,09-05-2023,apple_pay
99721h,12245k,10/21/2023,credit_card
71509o,09632f,1/19/2024,venmo
75916n,30128a,9/22/2023,credit_card
91703l,16419p,04-07-2023,apple_pay
86249t,84142b,7/27/2023,debit_card
20161o,46732s,5/16/2023,venmo
10783j,39278h,7/19/2023,apple_pay
06156p,33088p,12/26/2023,debit_card
03285u,29632z,08-11-2023,credit_card
44288s,16125h,10/24/2023,apple_pay
24225y,67130u,5/16/2023,apple_pay
96607u,78927a,2/18/2024,venmo
11983r,88835r,8/30/2023,apple_pay
21881u,14567w,01-06-2024,venmo
75630k,48829c,8/29/2023,venmo
29301a,40163c,04-10-2023,paypal
54179x,26552o,11/22/2023,apple_pay
48350d,96698w,1/23/2024,apple_pay
87199d,44912p,12/20/2023,credit_card
33272m,51761h,11/23/2023,venmo
54546t,36295g,10-08-2023,paypal
30271n,02066c,8/23/2023,apple_pay
20721r,14614h,02-10-2024,venmo
52915o,65507a,1/29/2024,venmo
55596f,91608v,10/21/2023,apple_pay
49252o,97758z,11/30/2023,apple_pay
96296s,66643g,11/23/2023,debit_card
79238k,41512k,7/21/2023,venmo
25142s,68082f,2/13/2024,venmo
73702y,50056g,2/16/2024,debit_card
10759d,77626l,12/29/2023,credit_card
26255s,04067a,11/22/2023,apple_pay
12498a,40733x,10-10-2023,debit_card
70448n,09100g,07-05-2023,apple_pay
95914x,84332s,11-05-2023,debit_card
47694j,99940q,10/15/2023,venmo
75722i,57965k,06-05-2023,debit_card
76586x,23073m,11-01-2023,paypal
90564p,11986n,11-07-2023,venmo
66167o,35273l,5/19/2023,credit_card
40511j,22567m,6/29/2023,credit_card
54545h,57653c,1/30/2024,venmo
05874c,50945i,11-11-2023,paypal
29820m,25454m,9/13/2023,credit_card
65237n,30529d,05-02-2023,venmo
10449a,18104u,9/27/2023,credit_card
15199n,84280s,12/22/2023,paypal
84315b,32978m,10/16/2023,paypal
75206o,37719j,8/28/2023,apple_pay
87529h,18697m,7/17/2023,debit_card
40749z,74282t,10/29/2023,venmo
04690o,27952l,8/29/2023,paypal
66925m,01984y,11/28/2023,paypal
68114h,06966s,05-02-2023,debit_card
04534r,70935q,06-06-2023,debit_card
92759f,79841w,08-03-2023,venmo
92426t,29338y,10-11-2023,credit_card
30566l,62862p,1/14/2024,apple_pay
44039g,51884i,11/30/2023,apple_pay
76890r,58418d,12/27/2023,apple_pay
21502h,58246v,7/30/2023,paypal
51237f,97831z,3/19/2023,apple_pay
21658q,87823d,10/15/2023,paypal
77766p,31462k,3/28/2023,venmo
12187v,37410m,2/28/2024,venmo
79825b,68055i,2/24/2024,venmo
88873e,61154w,4/28/2023,credit_card
44905r,07167k,07-06-2023,apple_pay
22337u,23949j,1/25/2024,apple_pay
92191u,51446z,5/13/2023,paypal
23753k,09260i,03-09-2023,paypal
02702v,01113m,01-08-2024,apple_pay
97997e,74119d,5/15/2023,credit_card
09364h,60330w,12-08-2023,apple_pay
98809o,97837j,4/30/2023,debit_card
94274k,04874u,05-10-2023,paypal
17098q,77385x,11/25/2023,debit_card
85384i,42989c,12-04-2023,venmo
27115v,82406k,12/18/2023,venmo
61808p,56210r,7/30/2023,venmo
04921a,31649a,11/29/2023,debit_card
56970t,49435r,7/15/2023,apple_pay
50122v,39990p,2/20/2024,apple_pay
78413j,28214m,11/27/2023,apple_pay
78036y,10451h,6/15/2023,debit_card
23091t,22444r,09-08-2023,paypal
95938g,61392z,5/22/2023,apple_pay
00438r,31796z,8/16/2023,apple_pay
56428v,27122e,10/19/2023,venmo
01253s,86680h,08-02-2023,paypal
83934s,88049u,06-12-2023,paypal
52805t,17871g,10-03-2023,apple_pay
53798b,94703g,9/21/2023,venmo
48836u,47990b,11/29/2023,paypal
61900s,15770m,8/18/2023,paypal
53364a,98889w,04-05-2023,paypal
71578j,00309z,04-12-2023,credit_card
01471b,05658q,2/25/2024,venmo
99686s,63236h,11/13/2023,paypal
90317y,94773k,2/18/2024,paypal
73845y,32189a,06-04-2023,venmo
78775e,95982h,10/24/2023,venmo
52064h,60852h,12-12-2023,venmo
37159c,55200g,02-09-2024,venmo
79460l,81133h,10/30/2023,debit_card
31402t,05493s,10/17/2023,paypal
80914m,87248r,11/16/2023,credit_card
50111k,16605t,3/20/2023,apple_pay
65424x,77901e,9/25/2023,apple_pay
84120m,27121x,4/20/2023,debit_card
10772u,85056y,03-04-2024,paypal
26599d,70732t,02-02-2024,debit_card
41721l,46535k,11/21/2023,apple_pay
45914b,75002c,7/19/2023,debit_card
83446r,31548p,6/20/2023,debit_card
76588f,73430k,05-03-2023,venmo
89656z,44768t,12/16/2023,paypal
41439z,57611w,11/13/2023,paypal
42173i,71537k,12/13/2023,apple_pay
36534f,61297p,2/23/2024,apple_pay
60221s,40720l,7/14/2023,paypal
80853u,69538f,3/24/2023,venmo
33164r,68582q,9/22/2023,paypal
39104r,54546f,07-06-2023,apple_pay
37205x,05951o,6/15/2023,debit_card
43667v,81259v,11-12-2023,debit_card
20400g,02024w,1/30/2024,debit_card
03846o,32231d,10-10-2023,paypal
85138x,22341l,05-11-2023,paypal
25527z,55773n,01-07-2024,paypal
08963h,53938n,9/23/2023,credit_card
00978z,58089z,9/24/2023,venmo
56423w,25598q,9/30/2023,debit_card
93682g,33540r,5/22/2023,venmo
01351e,77122j,1/13/2024,paypal
02971q,74786u,11/15/2023,debit_card
80397r,26030i,4/17/2023,debit_card
97277u,47901r,10/18/2023,credit_card
74274m,28264s,08-04-2023,debit_card
03975m,90467n,1/21/2024,venmo
92236b,53643h,10-01-2023,debit_card
49082c,54622h,11/13/2023,debit_card
46050x,83201y,11/14/2023,credit_card
26601a,17179o,5/21/2023,venmo
35340k,89193z,02-08-2024,debit_card
16218n,11657u,12-12-2023,venmo
58601o,44173q,5/25/2023,credit_card
55862v,52575k,03-12-2023,apple_pay
19506x,49120g,7/18/2023,credit_card
40125s,79320i,12/23/2023,venmo
99625m,95500a,07-05-2023,credit_card
44736y,53262m,2/21/2024,venmo
79224f,54965p,08-09-2023,venmo
30855n,02310k,1/25/2024,debit_card
74557l,23341a,11-07-2023,paypal
91742j,97623w,9/16/2023,debit_card
35740u,82051z,08-06-2023,debit_card
65557z,09161k,4/25/2023,debit_card
08172c,51793k,03-09-2023,credit_card
48192k,89229p,4/23/2023,credit_card
70733g,61880t,01-11-2024,paypal
55421k,89240p,11-08-2023,credit_card
97182d,79276f,2/24/2024,paypal
87404h,74557h,12-11-2023,paypal
81213r,11116f,01-01-2024,apple_pay
55499k,36546l,4/30/2023,debit_card
08923p,59131y,12-05-2023,venmo
98565l,59348r,2/22/2024,apple_pay
93288m,13718r,9/21/2023,venmo
46933c,34110n,02-04-2024,debit_card
91426l,15630v,7/28/2023,apple_pay
97235p,90953o,6/27/2023,credit_card
22058z,07704o,06-02-2023,credit_card
69524n,15570w,11-03-2023,credit_card
87037h,78387g,4/14/2023,venmo
75274a,70570a,1/28/2024,paypal
53289i,44152d,3/27/2023,debit_card
18418o,45930j,06-03-2023,paypal
54844p,40362p,1/18/2024,venmo
33418c,88854g,09-05-2023,debit_card
31471e,24143x,02-04-2024,paypal
19971e,95802v,1/31/2024,apple_pay
99418n,37698h,08-12-2023,paypal
40550a,66275d,06-01-2023,credit_card
23221m,86220f,2/18/2024,credit_card
64301j,64802c,12/26/2023,apple_pay
41084g,53128d,6/17/2023,debit_card
08920n,25582o,12/22/2023,apple_pay
61515b,45973l,11-11-2023,credit_card
21536z,68292z,05-04-2023,debit_card
84274w,69298u,10/30/2023,apple_pay
02469t,50785r,11-11-2023,venmo
38997d,68529z,02-06-2024,credit_card
37778q,89249b,7/14/2023,paypal
91519q,39990x,11-04-2023,venmo
20749b,54107j,4/26/2023,venmo
51875h,43984o,10/27/2023,debit_card
21644g,28258g,11/27/2023,credit_card
24499b,55042g,06-10-2023,venmo
75287r,54778w,07-03-2023,paypal
82883z,15805i,05-09-2023,debit_card
02739c,46715b,01-05-2024,credit_card
36445f,42240l,10/21/2023,paypal
05032p,73965s,8/24/2023,apple_pay
23237a,39790t,03-09-2023,debit_card
37308v,51019v,07-06-2023,paypal
61831l,03642p,02-02-2024,paypal
12882i,67035w,2/19/2024,apple_pay
61839z,95457f,1/13/2024,paypal
42497f,19566g,7/20/2023,paypal
32666h,88320q,6/24/2023,apple_pay
93790g,02083y,5/22/2023,venmo
56930u,62736j,02-04-2024,debit_card
63009e,83838m,11-11-2023,apple_pay
84305c,00902p,02-10-2024,venmo
83898s,89803s,1/28/2024,apple_pay
32432y,42027p,9/21/2023,venmo
51693z,24417g,11-07-2023,debit_card
19482r,37232i,04-02-2023,apple_pay
60044f,73960e,9/28/2023,paypal
32215w,41075s,4/21/2023,debit_card
08508r,55067p,04-01-2023,venmo
51999x,77524n,09-12-2023,venmo
84541v,88436l,02-05-2024,debit_card
75209w,18683a,08-04-2023,venmo
63755u,00689b,01-10-2024,apple_pay
65942n,46149c,3/20/2023,paypal
79372p,35942x,3/24/2023,apple_pay
93665a,27498f,10-10-2023,paypal
99488x,88341h,06-08-2023,apple_pay
07131s,52821f,12/18/2023,paypal
78338i,88151y,11/22/2023,credit_card
80071s,96739k,7/29/2023,paypal
22289r,00080t,1/21/2024,venmo
69940k,05029s,2/28/2024,credit_card
03660i,63015u,6/26/2023,credit_card
45756f,45777z,03-07-2023,venmo
61518p,14483z,3/20/2023,venmo
36255h,94924w,01-05-2024,apple_pay
51277n,50356i,08-11-2023,venmo
37822u,85963v,1/26/2024,credit_card
65960j,26460r,09-05-2023,venmo
99019n,19872v,5/20/2023,debit_card
72707t,54235j,4/20/2023,credit_card
77061o,65320o,12/15/2023,paypal
05248x,76522c,12/16/2023,paypal
00063a,96143t,8/27/2023,venmo
29061o,53442w,01-12-2024,paypal
09564u,94076h,10-05-2023,credit_card
56466r,30382k,12/25/2023,venmo
42627c,90858u,10/26/2023,credit_card
73474j,44472l,07-10-2023,venmo
65771q,30103m,2/25/2024,venmo
96346t,50615h,4/28/2023,debit_card
41738i,48637s,03-05-2023,paypal
38435f,05932b,12-05-2023,paypal
53896x,42132a,6/25/2023,debit_card
82701v,24003r,9/15/2023,venmo
26568u,30585x,7/28/2023,apple_pay
42197k,19172r,10/29/2023,credit_card
65162y,44096c,4/29/2023,paypal
35555y,51966x,1/29/2024,venmo
38476u,92433y,12-05-2023,debit_card
74905h,71920d,7/23/2023,credit_card
55503q,98740n,05-07-2023,debit_card
83055g,65271u,11-09-2023,venmo
86776h,74668k,05-10-2023,debit_card
68535j,33375o,06-04-2023,credit_card
11931e,54670b,5/23/2023,debit_card
94203h,11416c,07-06-2023,venmo
30564w,97051v,09-01-2023,paypal
42854v,99940c,07-03-2023,venmo
72184v,36880f,1/17/2024,credit_card
74515v,97042c,6/14/2023,paypal
73429t,77550c,11/19/2023,paypal
88756g,69989v,2/16/2024,debit_card
50791q,93363y,08-03-2023,debit_card
07743m,13761d,11-12-2023,venmo
94296e,82214l,4/18/2023,apple_pay
38068r,01548e,9/20/2023,apple_pay
25596v,53516c,9/24/2023,credit_card
24794s,25343y,08-08-2023,credit_card
95564v,97860h,8/14/2023,credit_card
30711l,42023k,11/15/2023,paypal
92238k,91905o,5/30/2023,paypal
44378b,30802y,09-06-2023,apple_pay
60726k,65670u,8/23/2023,debit_card
63129s,55367u,4/15/2023,debit_card
01568m,01126o,10/18/2023,credit_card
38258j,50930v,12/29/2023,venmo
76208v,00479o,4/18/2023,paypal
95590i,86218r,07-11-2023,apple_pay
63821c,94555q,11-01-2023,apple_pay
85860a,07808h,01-04-2024,apple_pay
96958i,25317f,02-12-2024,paypal
87948x,10381j,07-11-2023,debit_card
33708q,55567p,6/16/2023,venmo
74647j,35209h,12/23/2023,credit_card
11801a,79393y,8/28/2023,debit_card
31950x,92952a,03-04-2023,apple_pay
77791w,01376f,04-09-2023,paypal
95539e,45002p,2/21/2024,apple_pay
54411r,20293a,06-01-2023,credit_card
55050r,44385d,1/30/2024,apple_pay
44701r,55890r,4/26/2023,debit_card
11288o,49105w,11-12-2023,apple_pay
52301x,75892m,4/17/2023,venmo
53565o,19830n,7/21/2023,credit_card
43809l,55182v,06-04-2023,venmo
15496k,08645o,5/16/2023,credit_card
56782a,74028a,8/25/2023,credit_card
70982c,26740f,1/21/2024,debit_card
01956w,64313n,07-03-2023,apple_pay
57972g,82929x,2/19/2024,apple_pay
53017u,68568j,12/31/2023,venmo
36971g,07958g,12-01-2023,debit_card
71626r,60703c,01-03-2024,apple_pay
24905d,91850t,12/26/2023,paypal
81148e,50665y,11/21/2023,credit_card
37163w,80467m,6/24/2023,credit_card
39465k,28447u,11/30/2023,venmo
14230m,86762i,12/21/2023,apple_pay
11333w,79485s,12-03-2023,debit_card
56783j,14369i,2/13/2024,credit_card
62803s,28674v,4/23/2023,paypal
35429x,77853y,05-05-2023,debit_card
22311l,33777q,05-09-2023,paypal
63678y,34626y,4/26/2023,debit_card
95964s,65408b,10/13/2023,credit_card
51457b,39847m,08-12-2023,apple_pay
67287d,07955x,9/27/2023,paypal
