settlement_id,sale_id,settlement_date,settlement_type
39036l,80847r,01-07-2024,bank transfer
71668s,33699s,5/27/2023,card
66945w,68663f,4/21/2023,bank transfer
37385o,22298g,1/30/2024,cheque
59312l,61032m,1/22/2024,card
89201g,01507n,08-06-2023,bank draft
33691b,73602d,1/28/2024,card
29594h,45773u,12/25/2023,card
46932z,70063y,8/21/2023,cash
51868h,21303l,9/22/2023,card
76493z,32269g,11/22/2023,cash
71095e,05886f,06-01-2023,bank transfer
03088k,93275b,01-09-2024,bank draft
52575t,20570i,12-03-2023,cheque
35424k,73848q,07-10-2023,card
51765w,72310c,05-12-2023,cheque
36854i,78197a,8/24/2023,bank draft
32664z,17365u,10/15/2023,cash
84667o,49646a,10/20/2023,bank transfer
44280s,74108k,04-11-2023,cash
34416g,72956e,12/28/2023,bank transfer
62504b,33934r,3/13/2023,cheque
89861v,47785o,3/28/2023,cash
75407t,08162v,12/16/2023,bank draft
80377t,71317r,5/18/2023,cheque
35039u,95763i,01-07-2024,card
58405l,77561k,12-04-2023,cash
17295m,42728y,12/16/2023,card
26368o,09880j,4/14/2023,card
08016x,46100f,02-11-2024,bank transfer
33722d,00771t,6/28/2023,cash
71792y,54363s,04-06-2023,cash
97180l,61087j,6/24/2023,cash
54743x,88396b,5/16/2023,card
65592y,35047g,03-05-2024,cheque
49246o,41002a,3/28/2023,card
52730b,79666e,11-08-2023,bank transfer
89155n,73266p,10-12-2023,cheque
52532s,18113s,12/17/2023,cheque
50622f,00473e,1/13/2024,bank transfer
55184w,16618k,10/25/2023,cheque
21647d,61770m,1/25/2024,bank transfer
60251a,99907x,9/28/2023,card
81819w,86902x,12-12-2023,cheque
30920q,34733a,10/27/2023,cheque
07520d,06606s,11-05-2023,cheque
50934j,07246g,11/22/2023,bank draft
26026o,03558q,7/14/2023,bank transfer
09008m,07668y,4/28/2023,cheque
66627x,65582c,10-11-2023,card
72187z,10862t,09-09-2023,bank transfer
45530d,30043b,5/13/2023,bank transfer
29376r,08303x,2/16/2024,card
32922i,71447r,7/17/2023,bank transfer
85210h,49821x,08-02-2023,bank draft
63903n,47152o,10-11-2023,bank draft
07572v,46543w,8/27/2023,card
56594s,08574v,09-08-2023,card
55103a,26023u,03-03-2024,cheque
34435o,52145o,5/17/2023,cash
79727g,22195o,11-04-2023,cheque
52823p,18065w,12-06-2023,bank transfer
28347b,99727t,03-04-2024,cash
19465h,87907y,4/30/2023,card
69191v,29582r,06-09-2023,bank transfer
48195f,42715i,3/16/2023,bank transfer
63616p,29577v,8/22/2023,card
40527d,55328t,06-11-2023,card
39088p,06786k,1/18/2024,bank draft
20462j,35840f,10/15/2023,cash
39450t,40611q,9/28/2023,cheque
18327q,04043y,8/22/2023,cheque
90765z,86052d,6/29/2023,cheque
34655z,64565y,12/26/2023,cash
24404t,33076s,02-04-2024,card
58042c,68791y,06-06-2023,bank transfer
80261a,05057r,10-10-2023,cash
21941z,52243b,12/27/2023,bank transfer
57037g,16803b,9/21/2023,bank draft
26868s,41724i,03-12-2023,cash
63054s,28655l,8/14/2023,cash
30041c,81123g,4/28/2023,card
81996y,76276h,09-05-2023,cheque
48093w,19959a,4/28/2023,bank draft
02650f,81463i,03-08-2023,cash
06918s,04579j,8/27/2023,card
45367u,71182m,7/18/2023,bank draft
46247q,49453y,6/17/2023,bank transfer
07079e,60221s,11-07-2023,cash
22350l,25512y,09-02-2023,bank transfer
45948q,85008o,9/16/2023,cash
30469z,96353w,02-02-2024,card
78999l,48479u,11/22/2023,bank transfer
17711f,06767s,01-03-2024,bank transfer
39161v,83911p,5/27/2023,cheque
04987q,41408a,3/27/2023,bank transfer
37453q,71335z,11/26/2023,cheque
41075j,05751y,7/19/2023,card
92851d,34768b,7/13/2023,card
52797k,29755w,08-10-2023,cash
02956b,24501b,1/19/2024,card
86874g,14859y,12/30/2023,card
31538t,76236i,11/16/2023,bank draft
01650a,06204n,03-01-2024,bank draft
18383b,34687v,10/29/2023,card
89073a,96022g,09-08-2023,card
07296p,90961z,06-05-2023,card
39720o,63630c,11/16/2023,cash
61134d,56571q,12/13/2023,card
88216d,69247r,03-04-2024,cash
70428p,00081s,12-02-2023,bank transfer
20904v,91605y,8/26/2023,cash
48966j,02432j,06-01-2023,cheque
11372y,25459l,10-05-2023,cash
75383m,12373n,05-12-2023,cheque
38001j,08152z,2/27/2024,card
74844g,94496b,07-10-2023,cheque
70364y,73187o,01-10-2024,cheque
43847j,84064a,06-12-2023,bank transfer
21160q,40421p,01-06-2024,cheque
18229f,43062k,02-04-2024,cash
75895b,86578l,4/14/2023,cheque
48238p,65591z,03-12-2023,bank draft
87409q,63951m,11-07-2023,card
84388u,80689p,5/31/2023,bank draft
29932v,85160u,8/13/2023,card
20896n,46527i,11-06-2023,bank draft
24844z,07438x,8/16/2023,cash
01656y,40559y,2/13/2024,card
07320e,90287x,11/18/2023,cash
09071q,97250v,8/17/2023,card
18456d,76764i,5/17/2023,bank draft
73723d,58069n,1/13/2024,bank draft
61157y,82804d,7/27/2023,card
48333a,05304q,1/21/2024,card
89857t,22356r,10/23/2023,cash
49290y,00006a,11/15/2023,card
06041q,66654p,01-05-2024,card
65511y,93127g,02-02-2024,bank transfer
23608c,26430z,9/16/2023,cash
29786u,93149k,9/21/2023,card
86596j,78353r,1/26/2024,cheque
16974e,44487n,4/30/2023,card
95813e,34719a,12/14/2023,cash
46824y,15592x,10-08-2023,bank transfer
29583u,84957m,9/13/2023,bank draft
00624h,67086z,6/18/2023,cash
51255e,31928h,11/13/2023,card
57878m,35162d,10/19/2023,bank transfer
27312d,36451g,9/19/2023,bank transfer
49670g,98061h,11/23/2023,cheque
44804i,50236f,3/27/2023,bank draft
47887b,85800s,12/19/2023,cash
45608n,19411h,06-08-2023,cheque
66101i,09623b,05-07-2023,card
59106v,97102x,12/23/2023,bank transfer
35634m,24566s,5/22/2023,card
99875e,02078n,02-10-2024,bank transfer
27397k,31140k,12/15/2023,card
75113c,88663a,5/14/2023,bank transfer
71301x,03285r,04-01-2023,bank draft
93913a,80195i,10/24/2023,bank transfer
26274i,41597j,11-11-2023,bank draft
73700v,46581t,8/22/2023,cash
70943q,68780w,11-02-2023,cash
02912m,00446s,5/26/2023,cash
75769o,25664b,3/24/2023,card
44947x,99261o,02-05-2024,cheque
94694r,98703e,10/29/2023,cheque
09947s,63260v,9/17/2023,bank transfer
77687z,67950t,02-06-2024,cash
33002m,13687o,09-12-2023,bank transfer
03940v,25768l,8/13/2023,bank draft
23524y,58475t,02-10-2024,cash
01263k,16242j,10-05-2023,card
29574d,03480e,03-06-2024,card
22220k,46260m,07-12-2023,cheque
21924y,56338y,6/29/2023,cheque
40754d,39930k,9/28/2023,cheque
86208z,16619c,2/27/2024,cheque
91291v,21015y,7/20/2023,cheque
07894h,89832j,03-09-2023,bank transfer
91939g,79892l,02-03-2024,cheque
77447u,90209m,4/24/2023,bank transfer
95572r,50037k,9/24/2023,cheque
49186t,58053o,10/26/2023,card
12126q,33350v,7/22/2023,cheque
50277v,63905t,01-10-2024,cash
68388t,80464g,9/25/2023,bank transfer
05894d,08985b,08-12-2023,bank transfer
17160t,35548q,8/16/2023,cheque
61474i,75018k,09-02-2023,bank transfer
19910o,74270r,10/24/2023,card
96924k,48627t,8/28/2023,card
91216v,09872z,11-08-2023,bank draft
38030p,61556r,8/18/2023,cash
63655a,77203g,11-03-2023,cash
78389e,15990a,1/17/2024,cheque
94216u,65806z,12/23/2023,bank transfer
07520y,77319p,4/27/2023,cheque
12673h,94913h,10/14/2023,cash
15017k,37696y,4/27/2023,cash
15758s,14479u,7/24/2023,bank transfer
86457q,68229y,08-12-2023,cheque
40457p,27493b,10/26/2023,bank draft
87722n,70519w,8/25/2023,cheque
47512n,97829f,3/14/2023,cash
61408u,88004p,02-09-2024,bank draft
37776p,14297b,10-03-2023,bank transfer
01657c,83209d,05-10-2023,bank draft
02479n,70160s,9/27/2023,cheque
96700e,89456g,3/28/2023,cash
20169t,12244n,8/27/2023,cheque
55083b,24083t,3/23/2023,cheque
15201o,17340g,08-12-2023,bank draft
76306q,67343p,8/31/2023,bank draft
45369c,79468m,04-07-2023,cash
25380o,38211k,06-03-2023,cash
42943c,47054j,12/22/2023,card
43316h,40760o,12/27/2023,cheque
23446e,53669y,5/28/2023,cash
72838v,98214d,01-05-2024,card
49679g,76646w,4/21/2023,cash
44806r,58110p,6/23/2023,card
35428o,99023w,2/13/2024,cheque
59750k,94935p,7/19/2023,cheque
83615z,15066q,08-04-2023,cheque
55434l,01129v,2/23/2024,cash
08884s,22217p,9/16/2023,bank draft
89434d,87940z,6/28/2023,cheque
40241r,69753c,09-04-2023,bank draft
97625d,09837u,8/27/2023,bank draft
52342s,33640a,6/14/2023,card
66934b,52323d,8/20/2023,cheque
42896l,31428m,05-03-2023,card
66886t,90775y,03-05-2024,bank transfer
72118l,76525a,3/18/2023,bank transfer
32591q,50461n,06-07-2023,card
06993s,73570q,03-11-2023,bank draft
92526g,85723z,6/15/2023,cheque
24863d,36686r,5/19/2023,bank draft
72186t,97123o,09-12-2023,bank transfer
18522u,62466l,02-01-2024,bank draft
12267w,81638x,02-09-2024,bank draft
87292r,77970l,1/30/2024,card
25751n,93233b,11/20/2023,cash
08108y,29553l,3/14/2023,card
12165k,30665w,11/27/2023,bank draft
43807r,42605z,8/14/2023,card
88464w,81922g,7/29/2023,bank draft
22146g,96727w,7/23/2023,cheque
95616v,27176o,1/30/2024,bank transfer
89994z,10610y,01-10-2024,card
58231n,57506z,7/24/2023,cheque
93364c,05715b,07-04-2023,bank draft
69106v,54415k,10/22/2023,bank draft
97875t,30676j,1/19/2024,card
56811o,82677i,2/18/2024,bank draft
94944d,39575d,1/28/2024,bank transfer
10250h,01570p,6/26/2023,cheque
61878v,25100o,5/30/2023,cheque
52412j,60635z,04-08-2023,bank draft
15660l,63687y,1/13/2024,bank draft
89044h,18178w,8/27/2023,card
97371u,40291d,6/28/2023,cheque
58380h,16039k,9/30/2023,card
82644y,92504u,2/27/2024,cash
79436y,65765v,2/22/2024,cheque
07707w,87350v,10/24/2023,card
98729r,10377h,11/21/2023,bank draft
09819m,81953h,08-09-2023,card
61063g,35216l,9/22/2023,bank draft
64959q,47849i,1/16/2024,cash
92910b,17574u,1/31/2024,bank transfer
70323z,30495t,12/14/2023,card
54914z,73981d,6/26/2023,cheque
67345l,98967z,11-06-2023,cheque
73793n,64783t,10/25/2023,cheque
46318b,89778s,9/30/2023,card
96260v,14605v,7/29/2023,bank draft
53651c,29220d,11/24/2023,cash
93977e,76090k,4/30/2023,bank transfer
42929p,43560h,10-12-2023,cash
68980f,11012t,1/27/2024,bank draft
47113b,43761s,11-12-2023,cheque
18225c,59884f,6/18/2023,cash
33334d,11709f,10/28/2023,bank draft
13787r,33169p,12/18/2023,card
52711f,37810r,06-07-2023,cash
88888g,04908r,04-05-2023,bank transfer
03295f,54479m,04-05-2023,bank draft
12440v,31683j,05-05-2023,cash
01115a,13720j,5/15/2023,bank transfer
07358m,46837q,7/31/2023,bank draft
52522l,25478u,01-04-2024,bank transfer
44911i,47570c,11-02-2023,bank transfer
65272h,86761z,10/31/2023,card
79339n,16196i,10/21/2023,bank draft
51179p,99637z,4/29/2023,card
82461v,44034y,04-05-2023,bank draft
75084i,22639z,12/13/2023,bank draft
83948a,65590m,01-01-2024,card
84979b,71153m,08-09-2023,card
27508b,58580x,2/13/2024,bank draft
08635m,90200p,02-09-2024,cash
82143h,95546x,05-02-2023,card
20388e,69707s,03-03-2024,cash
31935m,84359b,11-06-2023,cash
34767y,25658w,01-09-2024,cash
08236p,19455g,02-11-2024,bank transfer
41043r,61226g,02-03-2024,bank draft
77964e,91428u,05-08-2023,bank transfer
32129l,76914c,2/14/2024,bank draft
07208g,94889x,12-05-2023,card
79784y,80439t,1/22/2024,bank draft
74728f,47353n,6/14/2023,cheque
69985t,94459v,7/21/2023,cash
12381c,01524y,9/17/2023,card
48305h,84857c,09-03-2023,card
29959k,10680j,2/26/2024,cheque
12531z,37463r,11-02-2023,bank transfer
28960s,56249j,02-06-2024,bank transfer
24919b,71736i,08-04-2023,card
58507k,34551j,12/26/2023,cash
96583y,97896b,5/16/2023,cheque
41927e,77616x,4/22/2023,bank draft
78850n,60046p,03-11-2023,cheque
14464b,52058y,10/18/2023,cash
95552o,81699l,3/30/2023,cash
35194i,47902z,12/18/2023,card
37560t,38227r,04-11-2023,card
91019b,04607o,12/23/2023,bank draft
04431s,96405j,08-12-2023,cheque
06448f,50655i,2/28/2024,bank transfer
99255x,19657r,3/18/2023,cash
21017l,63542w,12/19/2023,bank draft
29394v,49910j,2/26/2024,bank transfer
96423u,63345k,2/13/2024,cheque
14595k,24841f,3/29/2023,cheque
96394y,55407j,04-12-2023,bank draft
71643y,33629s,7/27/2023,bank transfer
16278m,42302i,06-10-2023,bank draft
03774x,13887g,5/30/2023,cash
93130h,65087a,12/20/2023,card
26920b,23669z,05-10-2023,bank transfer
58368w,59145q,4/29/2023,cheque
58018g,13576r,1/14/2024,bank transfer
00529u,65967a,8/20/2023,card
62398a,69045u,4/14/2023,cheque
62798t,40645m,2/16/2024,bank draft
30458s,14828k,05-05-2023,bank draft
03791y,79787v,01-10-2024,cash
50957l,94984x,11/19/2023,bank transfer
07817j,34514t,11/22/2023,bank draft
74301r,88477x,01-10-2024,bank transfer
43929c,23127n,5/16/2023,cheque
53263o,02813c,11/30/2023,bank draft
16568r,28561i,5/21/2023,bank transfer
11454c,64215n,5/19/2023,bank transfer
48348t,32557g,2/22/2024,bank draft
11512n,47404f,3/15/2023,cash
52795e,50236k,10/13/2023,bank transfer
23702v,98268q,11-07-2023,card
39283w,83516t,6/19/2023,cheque
20841x,14597d,11/22/2023,bank transfer
19287e,55465r,11-10-2023,cash
97211g,03935m,9/15/2023,bank transfer
40315e,88865g,11/30/2023,cash
12580e,15992q,6/30/2023,bank draft
26212c,37897a,02-09-2024,cash
13463x,42536l,5/30/2023,cash
34002h,76884r,2/22/2024,bank draft
20842w,78556a,11-01-2023,bank transfer
18829a,82452m,5/31/2023,bank transfer
36964g,49709b,9/28/2023,bank transfer
86021y,80594k,11-10-2023,bank transfer
05855x,15653x,5/16/2023,bank transfer
75276z,27320o,3/17/2023,card
45938r,94709j,07-08-2023,bank draft
96722q,69703d,4/26/2023,cash
03190t,19641x,8/28/2023,cheque
02874j,04995d,3/15/2023,bank draft
51073q,24429n,11/15/2023,cash
26125s,58140x,09-05-2023,cheque
42455d,38631g,7/29/2023,cash
75549f,40738i,5/29/2023,bank transfer
74770o,35507r,06-07-2023,cheque
87515j,23556y,3/19/2023,cash
68836c,84566k,7/27/2023,bank draft
31295k,75810r,10-03-2023,card
65573f,55649o,11/25/2023,cheque
30000o,68969a,12/27/2023,card
30182o,06792h,11-12-2023,cash
69759p,45692t,09-07-2023,cheque
36222x,65718a,11/24/2023,bank draft
91416h,70966d,05-12-2023,card
41258k,97065r,6/19/2023,card
06131p,50379d,05-10-2023,card
75653n,40983e,1/15/2024,cash
71198y,90818k,12-01-2023,card
14168e,68888i,1/20/2024,bank transfer
99929b,82790i,10/23/2023,card
30991u,78001j,2/16/2024,cash
14260m,20882j,10-03-2023,cheque
58059j,97040s,07-06-2023,cash
58130x,46303p,10-03-2023,cheque
95198w,97208q,01-04-2024,cash
17469q,23592h,8/20/2023,bank draft
69668z,10286g,5/31/2023,bank transfer
34098i,21685e,6/30/2023,cheque
59299k,66338a,1/30/2024,card
01968m,17863c,9/28/2023,bank draft
74973o,73392r,02-10-2024,cash
30885x,67834x,8/25/2023,card
31696v,66241b,07-01-2023,card
04148r,52269o,09-04-2023,bank transfer
14479l,12610l,09-05-2023,cash
37510g,72666d,03-12-2023,cheque
64816t,33080l,6/28/2023,bank transfer
20511d,46662y,05-02-2023,card
86299e,27613c,5/20/2023,cheque
73277z,09900b,3/30/2023,card
29270l,86418u,6/18/2023,cheque
10595b,03427e,7/27/2023,card
71006o,54949n,09-10-2023,bank transfer
58454g,57329j,04-10-2023,bank draft
53352s,35199g,5/23/2023,bank draft
04303g,33517u,01-11-2024,bank transfer
05305r,84832g,04-11-2023,bank transfer
43170v,30933f,6/28/2023,bank draft
85642k,69314s,11/21/2023,card
28310r,32314v,10/19/2023,card
92029a,58472g,9/30/2023,bank draft
48728i,05132e,02-06-2024,cash
07633k,64850i,09-10-2023,cheque
13291o,35061v,08-09-2023,bank transfer
88542d,26046s,12-11-2023,card
65712c,52834b,01-12-2024,cash
01862w,52611g,8/17/2023,bank draft
22183l,36066e,12-02-2023,cheque
08971r,69931z,01-04-2024,bank transfer
40673h,16522z,7/24/2023,cash
35830a,93005k,12/15/2023,bank transfer
43965e,89242b,4/27/2023,bank transfer
54822g,34597x,3/22/2023,card
51802l,95275f,4/21/2023,cash
55200z,19001g,12/30/2023,card
43254i,54233h,12/24/2023,bank transfer
64786t,34672e,09-08-2023,bank transfer
15846v,65839z,4/26/2023,bank transfer
95841j,91674c,07-03-2023,card
25114o,91295v,5/16/2023,cash
36067a,29655w,4/16/2023,bank draft
93994q,20704e,04-10-2023,cash
34708i,83207f,1/17/2024,cheque
16028a,67562y,2/17/2024,bank transfer
36663v,89349w,8/21/2023,bank draft
22556v,65156m,04-05-2023,cash
37963c,64364o,9/28/2023,cash
42836h,07162b,01-12-2024,cheque
07608k,60660r,4/27/2023,card
91279a,07332e,08-05-2023,cheque
07923n,66459a,02-10-2024,bank draft
08606a,27701u,7/28/2023,card
21017j,10177w,03-02-2024,cash
67148z,54178i,11-10-2023,cash
86292y,26800n,6/20/2023,cheque
37674p,82311m,3/16/2023,bank transfer
03425q,21002a,05-09-2023,bank draft
39243w,99751p,9/25/2023,cheque
10575u,05653b,06-04-2023,cheque
19664g,40767o,9/21/2023,cheque
25546x,05606c,12-07-2023,card
25077n,10959z,7/27/2023,bank transfer
71642o,96855l,6/21/2023,bank draft
50407k,10364b,1/18/2024,card
05462r,15927h,4/20/2023,card
51289v,67992v,1/21/2024,cheque
88184i,55197y,08-12-2023,cash
87666e,38674v,1/24/2024,card
23691e,91146t,12/23/2023,card
